Destination,District,Season,Type,Budget,Stay_Type,Stay_Place,Cost_per_Day,Rating,Booking_Link,Location,image_url
Kanyakumari Beach,Kanchipuram,Winter,Beach,High,Hotel,Kanyakumari Beach Resort,1570,4.3,https://www.google.com/search?q=Kanyakumari+Beach+hotel+booking,"https://www.google.com/maps/search/Kanyakumari+Beach,Kanchipuram",https://source.unsplash.com/600x400/?Kanyakumari%20Beach
Arunachaleswarar Temple,Namakkal,Winter,Temple,Low,Homestay,Arunachaleswarar Temple Resort,4597,4.6,https://www.google.com/search?q=Arunachaleswarar+Temple+hotel+booking,"https://www.google.com/maps/search/Arunachaleswarar+Temple,Namakkal",https://source.unsplash.com/600x400/?Arunachaleswarar%20Temple
Courtallam Falls,Ariyalur,Monsoon,Waterfall,Low,Lodge,Courtallam Falls Hotel,3795,3.7,https://www.google.com/search?q=Courtallam+Falls+hotel+booking,"https://www.google.com/maps/search/Courtallam+Falls,Ariyalur",https://source.unsplash.com/600x400/?Courtallam%20Falls
Silver Beach,Salem,Monsoon,Beach,High,Hotel,Silver Beach Inn,3192,4.1,https://www.google.com/search?q=Silver+Beach+hotel+booking,"https://www.google.com/maps/search/Silver+Beach,Salem",https://source.unsplash.com/600x400/?Silver%20Beach
Kiliyur Falls,Perambalur,Winter,Waterfall,Low,Resort,Kiliyur Falls Hotel,4457,3.7,https://www.google.com/search?q=Kiliyur+Falls+hotel+booking,"https://www.google.com/maps/search/Kiliyur+Falls,Perambalur",https://source.unsplash.com/600x400/?Kiliyur%20Falls
Elliot Beach,Trichy,Monsoon,Beach,Medium,Lodge,Elliot Beach Inn,1623,3.8,https://www.google.com/search?q=Elliot+Beach+hotel+booking,"https://www.google.com/maps/search/Elliot+Beach,Trichy",https://source.unsplash.com/600x400/?Elliot%20Beach
Kanyakumari Beach,Namakkal,Summer,Beach,Low,Hotel,Kanyakumari Beach Resort,1443,4.1,https://www.google.com/search?q=Kanyakumari+Beach+hotel+booking,"https://www.google.com/maps/search/Kanyakumari+Beach,Namakkal",https://source.unsplash.com/600x400/?Kanyakumari%20Beach
Kodaikanal Hills,Nagapattinam,All Season,Hill Station,Medium,Homestay,Kodaikanal Hills Inn,1486,3.7,https://www.google.com/search?q=Kodaikanal+Hills+hotel+booking,"https://www.google.com/maps/search/Kodaikanal+Hills,Nagapattinam",https://source.unsplash.com/600x400/?Kodaikanal%20Hills
Valparai Hills,Nilgiris,Winter,Hill Station,Medium,Homestay,Valparai Hills Hotel,4484,4.7,https://www.google.com/search?q=Valparai+Hills+hotel+booking,"https://www.google.com/maps/search/Valparai+Hills,Nilgiris",https://source.unsplash.com/600x400/?Valparai%20Hills
Suruli Falls,Erode,All Season,Waterfall,Low,Lodge,Suruli Falls Resort,3725,4.8,https://www.google.com/search?q=Suruli+Falls+hotel+booking,"https://www.google.com/maps/search/Suruli+Falls,Erode",https://source.unsplash.com/600x400/?Suruli%20Falls
Kanyakumari Beach,Cuddalore,Winter,Beach,Medium,Hotel,Kanyakumari Beach Resort,1057,4.2,https://www.google.com/search?q=Kanyakumari+Beach+hotel+booking,"https://www.google.com/maps/search/Kanyakumari+Beach,Cuddalore",https://source.unsplash.com/600x400/?Kanyakumari%20Beach
Hogenakkal Falls,Thanjavur,All Season,Waterfall,Low,Homestay,Hogenakkal Falls Stay,2483,4.6,https://www.google.com/search?q=Hogenakkal+Falls+hotel+booking,"https://www.google.com/maps/search/Hogenakkal+Falls,Thanjavur",https://source.unsplash.com/600x400/?Hogenakkal%20Falls
Kanyakumari Beach,Nilgiris,Winter,Beach,High,Homestay,Kanyakumari Beach Hotel,962,4,https://www.google.com/search?q=Kanyakumari+Beach+hotel+booking,"https://www.google.com/maps/search/Kanyakumari+Beach,Nilgiris",https://source.unsplash.com/600x400/?Kanyakumari%20Beach
